CID	Image	Gender	Ethnicity	LR
001	02	m	1	l
001	21	m	1	l
001	15	m	1	r
001	25	m	1	r
001	30	m	1	r
001	11	m	1	l
001	19	m	1	r
001	01	m	1	r
001	10	m	1	l
001	06	m	1	r
001	14	m	1	l
001	24	m	1	r
001	23	m	1	l
001	07	m	1	r
001	16	m	1	l
001	05	m	1	l
001	27	m	1	l
001	28	m	1	r
001	20	m	1	l
001	22	m	1	r
001	18	m	1	l
001	09	m	1	l
001	26	m	1	r
002	21	m	4	r
002	04	m	4	r
002	17	m	4	l
002	10	m	4	r
002	20	m	4	l
002	11	m	4	l
002	01	m	4	l
002	16	m	4	r
002	08	m	4	l
002	07	m	4	l
002	06	m	4	r
002	02	m	4	l
002	18	m	4	r
002	09	m	4	l
002	22	m	4	l
002	15	m	4	r
002	23	m	4	l
003	03	m	2	l
003	14	m	2	r
003	11	m	2	r
003	25	m	2	l
003	13	m	2	r
003	01	m	2	l
003	08	m	2	r
003	17	m	2	l
003	18	m	2	r
003	09	m	2	l
003	16	m	2	l
003	22	m	2	r
003	02	m	2	r
003	10	m	2	l
003	12	m	2	l
003	15	m	2	r
003	05	m	2	r
003	23	m	2	r
003	07	m	2	r
003	20	m	2	r
004	04	f	1	l
004	05	f	1	l
004	27	f	1	r
004	28	f	1	r
004	13	f	1	r
004	16	f	1	r
004	22	f	1	r
004	20	f	1	l
004	15	f	1	l
004	19	f	1	r
004	07	f	1	r
004	25	f	1	l
004	06	f	1	r
004	12	f	1	r
004	03	f	1	r
004	26	f	1	r
004	17	f	1	l
004	09	f	1	r
004	24	f	1	r
004	21	f	1	r
004	11	f	1	l
004	02	f	1	l
005	03	m	1	l
006	07	f	1	l
006	25	f	1	l
006	16	f	1	r
006	28	f	1	l
006	27	f	1	l
006	26	f	1	r
006	14	f	1	r
006	01	f	1	l
006	19	f	1	r
006	08	f	1	l
006	17	f	1	l
006	05	f	1	r
006	06	f	1	l
006	13	f	1	r
006	09	f	1	l
006	21	f	1	l
006	18	f	1	l
006	03	f	1	l
006	15	f	1	r
006	20	f	1	r
006	11	f	1	l
006	04	f	1	r
007	10	m	2	r
007	27	m	2	r
007	09	m	2	l
007	13	m	2	l
007	15	m	2	r
007	03	m	2	r
007	04	m	2	r
007	16	m	2	l
007	14	m	2	r
007	28	m	2	l
007	20	m	2	r
007	07	m	2	l
007	17	m	2	r
007	24	m	2	r
007	25	m	2	r
007	21	m	2	r
007	23	m	2	l
007	12	m	2	l
007	18	m	2	r
008	05	f	1	l
008	17	f	1	r
008	20	f	1	l
008	26	f	1	r
008	21	f	1	r
008	10	f	1	l
008	07	f	1	l
008	02	f	1	r
008	28	f	1	r
008	13	f	1	r
008	25	f	1	l
008	30	f	1	l
008	11	f	1	l
008	18	f	1	l
008	23	f	1	r
008	09	f	1	l
008	03	f	1	l
008	16	f	1	r
008	08	f	1	r
008	01	f	1	l
008	04	f	1	r
008	19	f	1	r
008	14	f	1	l
008	22	f	1	r
009	01	f	1	l
009	16	f	1	l
009	20	f	1	r
009	18	f	1	r
009	17	f	1	l
009	19	f	1	l
009	27	f	1	l
009	04	f	1	r
009	28	f	1	r
009	13	f	1	l
009	12	f	1	l
009	23	f	1	l
009	15	f	1	r
009	24	f	1	l
009	05	f	1	r
009	07	f	1	l
009	22	f	1	l
009	11	f	1	r
009	30	f	1	l
009	08	f	1	r
009	02	f	1	l
009	25	f	1	r
009	29	f	1	r
009	03	f	1	l
010	26	m	4	r
010	27	m	4	r
010	24	m	4	l
010	09	m	4	r
010	07	m	4	l
010	18	m	4	l
010	16	m	4	r
010	05	m	4	r
010	19	m	4	l
010	12	m	4	l
010	14	m	4	l
010	13	m	4	l
010	10	m	4	r
010	02	m	4	l
010	25	m	4	l
010	20	m	4	r
010	03	m	4	l
010	28	m	4	l
010	17	m	4	l
010	06	m	4	r
010	15	m	4	l
010	21	m	4	r
011	25	m	1	l
011	28	m	1	r
011	27	m	1	r
011	18	m	1	r
011	14	m	1	l
011	22	m	1	r
011	17	m	1	l
011	05	m	1	r
011	10	m	1	l
011	12	m	1	l
011	15	m	1	l
011	30	m	1	l
011	06	m	1	l
011	23	m	1	r
011	07	m	1	r
011	21	m	1	l
011	09	m	1	l
011	20	m	1	l
011	19	m	1	l
011	03	m	1	r
011	16	m	1	r
011	11	m	1	r
011	26	m	1	r
011	02	m	1	l
012	07	m	1	r
012	18	m	1	l
012	13	m	1	l
012	11	m	1	l
012	22	m	1	l
012	17	m	1	r
012	19	m	1	l
012	29	m	1	l
012	15	m	1	l
012	25	m	1	l
012	09	m	1	l
012	14	m	1	l
012	02	m	1	l
012	28	m	1	r
012	03	m	1	l
012	06	m	1	l
012	16	m	1	l
012	27	m	1	l
012	23	m	1	l
012	12	m	1	r
012	26	m	1	l
012	05	m	1	r
012	01	m	1	l
012	04	m	1	r
014	10	f	4	l
014	24	f	4	l
014	09	f	4	l
014	17	f	4	l
014	13	f	4	r
014	16	f	4	r
014	06	f	4	l
014	03	f	4	r
014	23	f	4	r
014	07	f	4	l
014	19	f	4	r
014	22	f	4	r
014	02	f	4	l
014	01	f	4	r
014	04	f	4	l
014	11	f	4	l
014	21	f	4	r
014	08	f	4	l
014	05	f	4	r
014	15	f	4	l
015	11	f	1	l
015	04	f	1	l
015	24	f	1	l
015	21	f	1	l
015	23	f	1	r
015	05	f	1	l
015	19	f	1	l
015	16	f	1	r
015	02	f	1	l
015	14	f	1	l
015	08	f	1	r
015	20	f	1	l
015	03	f	1	r
015	13	f	1	l
015	15	f	1	r
015	27	f	1	r
015	30	f	1	l
015	26	f	1	l
015	12	f	1	l
015	28	f	1	r
015	22	f	1	l
015	01	f	1	r
015	29	f	1	r
015	09	f	1	l
017	11	m	1	l
017	09	m	1	l
017	01	m	1	l
017	23	m	1	l
017	13	m	1	r
017	19	m	1	l
017	24	m	1	r
017	20	m	1	l
017	15	m	1	r
017	21	m	1	l
017	03	m	1	l
017	02	m	1	r
017	29	m	1	l
017	14	m	1	r
017	28	m	1	r
017	18	m	1	l
017	17	m	1	l
017	25	m	1	l
017	06	m	1	l
017	22	m	1	r
017	04	m	1	l
017	05	m	1	r
017	30	m	1	l
017	10	m	1	l
018	14	m	4	r
018	30	m	4	l
018	16	m	4	l
018	02	m	4	r
018	12	m	4	l
018	29	m	4	r
018	25	m	4	r
018	03	m	4	l
018	10	m	4	r
018	23	m	4	l
018	11	m	4	r
018	08	m	4	r
018	13	m	4	l
018	04	m	4	r
018	20	m	4	l
018	19	m	4	l
018	15	m	4	l
018	24	m	4	l
018	18	m	4	r
018	27	m	4	r
018	01	m	4	r
018	05	m	4	l
018	06	m	4	r
018	21	m	4	l
020	24	m	4	l
020	28	m	4	l
020	23	m	4	l
020	13	m	4	r
020	05	m	4	r
020	22	m	4	r
020	14	m	4	l
020	25	m	4	r
020	04	m	4	l
020	15	m	4	l
020	06	m	4	l
020	10	m	4	l
020	02	m	4	l
020	12	m	4	l
020	17	m	4	l
020	01	m	4	r
020	20	m	4	l
020	08	m	4	r
020	19	m	4	r
020	11	m	4	l
020	18	m	4	r
020	29	m	4	l
020	16	m	4	l
021	05	m	5	l
021	19	m	5	l
021	16	m	5	r
021	21	m	5	r
021	01	m	5	l
021	18	m	5	l
021	02	m	5	l
021	14	m	5	r
021	09	m	5	r
021	06	m	5	r
021	17	m	5	l
021	11	m	5	r
021	07	m	5	l
021	04	m	5	r
021	13	m	5	r
021	12	m	5	r
021	03	m	5	r
021	20	m	5	r
023	06	f	1	r
023	01	f	1	r
023	03	f	1	l
023	07	f	1	l
023	02	f	1	l
024	16	m	5	l
024	14	m	5	l
024	07	m	5	r
024	18	m	5	l
024	08	m	5	r
024	11	m	5	l
024	03	m	5	r
024	10	m	5	l
024	23	m	5	r
024	20	m	5	r
024	02	m	5	r
024	22	m	5	l
024	21	m	5	l
024	13	m	5	l
024	12	m	5	r
024	15	m	5	r
024	06	m	5	r
025	08	m	5	l
025	01	m	5	l
025	11	m	5	r
025	19	m	5	r
025	04	m	5	l
025	16	m	5	r
025	10	m	5	l
025	02	m	5	l
025	13	m	5	l
025	05	m	5	l
025	17	m	5	r
025	07	m	5	r
025	14	m	5	r
025	22	m	5	r
025	20	m	5	l
025	18	m	5	l
025	21	m	5	r
027	11	f	5	l
027	05	f	5	l
027	03	f	5	l
027	09	f	5	l
027	06	f	5	r
027	08	f	5	l
027	13	f	5	r
027	02	f	5	l
027	04	f	5	r
027	12	f	5	l
027	01	f	5	r
027	10	f	5	l
028	01	m	1	r
028	02	m	1	r
028	12	m	1	r
028	08	m	1	l
028	13	m	1	r
028	03	m	1	l
028	19	m	1	r
028	06	m	1	r
028	10	m	1	l
028	18	m	1	r
028	17	m	1	l
028	16	m	1	r
028	15	m	1	r
028	22	m	1	r
028	14	m	1	l
028	04	m	1	r
028	11	m	1	r
031	08	f	1	r
031	01	f	1	r
031	15	f	1	r
031	13	f	1	l
031	10	f	1	l
031	19	f	1	l
031	12	f	1	l
031	04	f	1	l
031	02	f	1	r
031	07	f	1	r
031	11	f	1	l
031	09	f	1	l
031	18	f	1	r
031	14	f	1	l
031	06	f	1	l
032	12	m	1	l
032	17	m	1	r
032	02	m	1	r
032	01	m	1	r
032	08	m	1	l
032	14	m	1	l
032	09	m	1	l
032	15	m	1	r
032	13	m	1	r
032	06	m	1	l
032	04	m	1	l
032	07	m	1	l
032	18	m	1	r
032	11	m	1	r
036	12	m	1	l
036	06	m	1	r
036	04	m	1	r
036	10	m	1	l
036	01	m	1	l
036	09	m	1	l
036	03	m	1	l
036	08	m	1	r
036	07	m	1	l
036	02	m	1	l
037	18	m	1	r
037	01	m	1	r
037	15	m	1	l
037	24	m	1	l
037	12	m	1	l
037	09	m	1	r
037	10	m	1	r
037	14	m	1	l
037	20	m	1	r
037	07	m	1	l
037	13	m	1	r
037	04	m	1	l
037	22	m	1	r
037	16	m	1	r
037	03	m	1	l
037	21	m	1	l
037	23	m	1	r
037	06	m	1	r
037	19	m	1	r
038	02	m	1	l
038	08	m	1	l
038	01	m	1	r
038	10	m	1	l
038	04	m	1	l
038	05	m	1	r
038	06	m	1	l
038	09	m	1	l
042	03	m	1	l
042	01	m	1	l
042	09	m	1	l
042	04	m	1	l
042	22	m	1	l
042	24	m	1	r
042	07	m	1	l
042	21	m	1	l
042	02	m	1	r
042	13	m	1	r
042	20	m	1	l
042	17	m	1	l
042	08	m	1	r
042	16	m	1	l
042	06	m	1	r
042	23	m	1	r
042	15	m	1	r
042	18	m	1	r
042	12	m	1	r
042	05	m	1	l
043	23	f	1	l
043	14	f	1	l
043	22	f	1	l
043	07	f	1	l
043	15	f	1	l
043	21	f	1	l
043	27	f	1	l
043	03	f	1	l
043	02	f	1	l
043	17	f	1	r
043	10	f	1	l
043	18	f	1	l
043	11	f	1	l
043	25	f	1	l
043	26	f	1	l
043	13	f	1	r
043	06	f	1	l
043	12	f	1	r
043	08	f	1	l
043	16	f	1	l
043	20	f	1	l
044	12	m	4	l
044	21	m	4	r
044	09	m	4	r
044	26	m	4	r
044	24	m	4	r
044	02	m	4	r
044	23	m	4	r
044	18	m	4	l
044	01	m	4	r
044	22	m	4	r
044	08	m	4	l
044	25	m	4	l
044	28	m	4	r
044	27	m	4	r
044	16	m	4	l
044	30	m	4	r
044	29	m	4	r
044	07	m	4	l
044	13	m	4	l
044	06	m	4	r
044	14	m	4	r
044	11	m	4	r
044	17	m	4	l
044	04	m	4	r
046	23	f	3	l
046	14	f	3	r
046	08	f	3	r
046	16	f	3	r
046	13	f	3	l
046	01	f	3	r
046	24	f	3	r
046	20	f	3	r
046	22	f	3	r
046	12	f	3	r
046	09	f	3	l
046	07	f	3	r
046	21	f	3	l
046	05	f	3	r
046	10	f	3	l
046	25	f	3	r
046	26	f	3	r
046	03	f	3	r
046	18	f	3	l
046	17	f	3	l
047	17	m	1	l
047	27	m	1	l
047	24	m	1	l
047	14	m	1	r
047	13	m	1	l
047	05	m	1	r
047	15	m	1	r
047	09	m	1	r
047	18	m	1	l
047	10	m	1	l
047	25	m	1	l
047	16	m	1	r
047	20	m	1	l
047	03	m	1	l
047	12	m	1	r
047	19	m	1	l
047	04	m	1	l
047	28	m	1	l
047	08	m	1	r
047	02	m	1	l
047	26	m	1	l
047	07	m	1	l
048	26	m	2	l
048	06	m	2	r
048	02	m	2	r
048	22	m	2	l
048	24	m	2	l
048	13	m	2	l
048	21	m	2	l
048	17	m	2	l
048	30	m	2	r
048	25	m	2	l
048	09	m	2	l
048	11	m	2	r
048	19	m	2	l
048	08	m	2	l
048	05	m	2	r
048	28	m	2	l
048	03	m	2	r
048	14	m	2	r
048	23	m	2	r
048	18	m	2	l
048	15	m	2	l
048	04	m	2	r
048	12	m	2	r
048	27	m	2	r
049	11	m	2	l
049	09	m	2	l
049	24	m	2	l
049	14	m	2	l
049	12	m	2	l
049	22	m	2	r
049	13	m	2	l
049	01	m	2	r
049	15	m	2	l
049	04	m	2	r
049	19	m	2	r
049	25	m	2	r
049	05	m	2	l
049	26	m	2	r
049	23	m	2	l
049	10	m	2	r
049	20	m	2	r
049	28	m	2	l
049	18	m	2	r
049	07	m	2	l
049	17	m	2	l
049	06	m	2	r
051	02	f	6	r
051	26	f	6	l
051	10	f	6	r
051	05	f	6	r
051	28	f	6	r
051	16	f	6	r
051	17	f	6	r
051	18	f	6	l
051	07	f	6	r
051	29	f	6	r
051	04	f	6	r
051	14	f	6	r
051	09	f	6	r
051	22	f	6	l
051	12	f	6	l
051	13	f	6	l
051	08	f	6	r
051	27	f	6	r
051	24	f	6	r
051	21	f	6	l
051	19	f	6	r
051	03	f	6	r
051	15	f	6	l
054	15	f	6	r
054	24	f	6	l
054	04	f	6	r
054	19	f	6	r
054	13	f	6	r
054	07	f	6	l
054	22	f	6	r
054	27	f	6	r
054	20	f	6	r
054	18	f	6	l
054	23	f	6	l
054	12	f	6	r
054	21	f	6	r
054	25	f	6	r
054	08	f	6	r
054	06	f	6	r
054	09	f	6	r
054	17	f	6	r
054	16	f	6	l
055	10	f	6	r
055	19	f	6	l
055	13	f	6	r
055	06	f	6	l
055	11	f	6	r
